"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1A_IW_GRDH_1SDV_20191226T230828_20191226T230852_030526_037EDA_8C50","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","30526","4","140","2019-12-26T23:08:52.000000","2019-12-26T23:08:28.000000","GRD_HD","2019-12-26T23:08:28.000000","2019-12-26T23:08:52.000000","44.1695","-78.6514","43.223415","-80.040192","43.62373","-76.892708","44.693233","-80.439758","45.093262","-77.213104","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191226T230828_20191226T230852_030526_037EDA_8C50.zip","875.2027378082275","None","None","0","S1A_IWDV_0140_0145_030526_004",""
"S1A_IW_GRDH_1SDV_20191214T230828_20191214T230853_030351_0378D3_C44C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","30351","4","140","2019-12-14T23:08:53.000000","2019-12-14T23:08:28.000000","GRD_HD","2019-12-14T23:08:28.000000","2019-12-14T23:08:53.000000","44.1696","-78.6519","43.223431","-80.040718","43.623787","-76.89312","44.693424","-80.440361","45.093498","-77.21357","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191214T230828_20191214T230853_030351_0378D3_C44C.zip","892.237735748291","None","None","0","S1A_IWDV_0140_0145_030351_004",""
"S1A_IW_GRDH_1SDV_20191202T230829_20191202T230853_030176_0372C4_E2FF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","30176","4","140","2019-12-02T23:08:53.000000","2019-12-02T23:08:29.000000","GRD_HD","2019-12-02T23:08:29.000000","2019-12-02T23:08:53.000000","44.1697","-78.6523","43.223526","-80.040924","43.62389","-76.893578","44.693436","-80.440514","45.093513","-77.213997","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191202T230829_20191202T230853_030176_0372C4_E2FF.zip","846.9333114624023","None","None","0","S1A_IWDV_0140_0145_030176_004",""
"S1A_IW_GRDH_1SDV_20191120T230829_20191120T230854_030001_036CB5_42C8","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","30001","4","140","2019-11-20T23:08:54.000000","2019-11-20T23:08:29.000000","GRD_HD","2019-11-20T23:08:29.000000","2019-11-20T23:08:54.000000","44.1697","-78.6525","43.223598","-80.041199","43.623978","-76.893845","44.69334","-80.440666","45.093433","-77.214165","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191120T230829_20191120T230854_030001_036CB5_42C8.zip","869.4467582702637","None","None","0","S1A_IWDV_0140_0145_030001_004",""
"S1A_IW_GRDH_1SDV_20191108T230829_20191108T230854_029826_0366A8_8734","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29826","4","140","2019-11-08T23:08:54.000000","2019-11-08T23:08:29.000000","GRD_HD","2019-11-08T23:08:29.000000","2019-11-08T23:08:54.000000","44.1697","-78.652","43.223618","-80.040703","43.623966","-76.893349","44.693527","-80.440323","45.093594","-77.213791","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191108T230829_20191108T230854_029826_0366A8_8734.zip","853.1472406387329","None","None","0","S1A_IWDV_0140_0145_029826_004",""
"S1A_IW_GRDH_1SDV_20191027T230829_20191027T230854_029651_036075_5EAF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29651","4","140","2019-10-27T23:08:54.000000","2019-10-27T23:08:29.000000","GRD_HD","2019-10-27T23:08:29.000000","2019-10-27T23:08:54.000000","44.1697","-78.6502","43.22369","-80.038857","43.623981","-76.891487","44.693516","-80.438408","45.093521","-77.211861","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191027T230829_20191027T230854_029651_036075_5EAF.zip","908.4217071533203","None","None","0","S1A_IWDV_0140_0145_029651_004",""
"S1A_IW_GRDH_1SDV_20191015T230829_20191015T230854_029476_035A71_8528","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29476","4","140","2019-10-15T23:08:54.000000","2019-10-15T23:08:29.000000","GRD_HD","2019-10-15T23:08:29.000000","2019-10-15T23:08:54.000000","44.17","-78.6505","43.223896","-80.039085","43.624168","-76.891953","44.693901","-80.438683","45.093887","-77.212372","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191015T230829_20191015T230854_029476_035A71_8528.zip","879.7684841156006","None","None","0","S1A_IWDV_0140_0145_029476_004",""
"S1A_IW_GRDH_1SDV_20191003T230829_20191003T230854_029301_035465_8194","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29301","4","140","2019-10-03T23:08:54.000000","2019-10-03T23:08:29.000000","GRD_HD","2019-10-03T23:08:29.000000","2019-10-03T23:08:54.000000","44.1701","-78.6528","43.223972","-80.041306","43.624264","-76.894417","44.693993","-80.440804","45.093998","-77.214767","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191003T230829_20191003T230854_029301_035465_8194.zip","881.7748765945435","None","None","0","S1A_IWDV_0140_0145_029301_004",""
"S1A_IW_GRDH_1SDV_20190921T230829_20190921T230854_029126_034E5F_AE43","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29126","4","140","2019-09-21T23:08:54.000000","2019-09-21T23:08:29.000000","GRD_HD","2019-09-21T23:08:29.000000","2019-09-21T23:08:54.000000","44.1701","-78.652","43.223999","-80.040497","43.624298","-76.893486","44.693825","-80.440079","45.093838","-77.213898","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20190921T230829_20190921T230854_029126_034E5F_AE43.zip","870.9184675216675","None","None","0","S1A_IWDV_0140_0145_029126_004",""
"S1A_IW_GRDH_1SDV_20190909T230829_20190909T230853_028951_03486B_D494","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","28951","4","140","2019-09-09T23:08:53.000000","2019-09-09T23:08:29.000000","GRD_HD","2019-09-09T23:08:29.000000","2019-09-09T23:08:53.000000","44.1698","-78.6513","43.223946","-80.039886","43.624233","-76.892876","44.69342","-80.439346","45.093422","-77.213188","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20190909T230829_20190909T230853_028951_03486B_D494.zip","861.6204853057861","None","None","0","S1A_IWDV_0140_0145_028951_004",""
