"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1A_IW_GRDH_1SDV_20201229T224422_20201229T224447_035907_043498_F0B1","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35907","135","146","2020-12-29T22:44:47.000000","2020-12-29T22:44:22.000000","GRD_HD","2020-12-29T22:44:22.000000","2020-12-29T22:44:47.000000","45.9243","-72.8943","44.964527","-74.31488","45.361862","-71.090454","46.46347","-74.731651","46.860779","-71.419418","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201229T224422_20201229T224447_035907_043498_F0B1.zip","871.6082048416138","None","None","0","S1A_IWDV_0146_0152_035907_135",""
"S1A_IW_GRDH_1SDV_20201217T224422_20201217T224447_035732_042E77_23DC","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35732","135","146","2020-12-17T22:44:47.000000","2020-12-17T22:44:22.000000","GRD_HD","2020-12-17T22:44:22.000000","2020-12-17T22:44:47.000000","45.9243","-72.8957","44.964493","-74.316132","45.361851","-71.091843","46.463428","-74.732941","46.860767","-71.420853","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201217T224422_20201217T224447_035732_042E77_23DC.zip","868.2124166488647","None","None","0","S1A_IWDV_0146_0152_035732_135",""
"S1A_IW_GRDH_1SDV_20201205T224423_20201205T224448_035557_04286F_D78F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35557","135","146","2020-12-05T22:44:48.000000","2020-12-05T22:44:23.000000","GRD_HD","2020-12-05T22:44:23.000000","2020-12-05T22:44:48.000000","45.9243","-72.8959","44.964497","-74.316345","45.361885","-71.092064","46.463432","-74.733177","46.860798","-71.421097","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201205T224423_20201205T224448_035557_04286F_D78F.zip","976.2654085159302","None","None","0","S1A_IWDV_0146_0152_035557_135",""
"S1A_IW_GRDH_1SDV_20201123T224423_20201123T224448_035382_042267_77E9","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35382","135","146","2020-11-23T22:44:48.000000","2020-11-23T22:44:23.000000","GRD_HD","2020-11-23T22:44:23.000000","2020-11-23T22:44:48.000000","45.9243","-72.8955","44.964474","-74.315887","45.361874","-71.091743","46.463409","-74.732742","46.860783","-71.420792","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201123T224423_20201123T224448_035382_042267_77E9.zip","965.369236946106","None","None","0","S1A_IWDV_0146_0152_035382_135",""
"S1A_IW_GRDH_1SDV_20201111T224423_20201111T224448_035207_041C60_A0F4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35207","135","146","2020-11-11T22:44:48.000000","2020-11-11T22:44:23.000000","GRD_HD","2020-11-11T22:44:23.000000","2020-11-11T22:44:48.000000","45.9242","-72.8952","44.964466","-74.315773","45.361862","-71.091232","46.463314","-74.732544","46.860691","-71.420204","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201111T224423_20201111T224448_035207_041C60_A0F4.zip","997.6249942779541","None","None","0","S1A_IWDV_0146_0152_035207_135",""
"S1A_IW_GRDH_1SDV_20201030T224424_20201030T224449_035032_04163C_B76B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","35032","135","146","2020-10-30T22:44:49.000000","2020-10-30T22:44:24.000000","GRD_HD","2020-10-30T22:44:24.000000","2020-10-30T22:44:49.000000","45.9244","-72.8942","44.964699","-74.314659","45.362011","-71.090477","46.463554","-74.7314","46.86084","-71.419418","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201030T224424_20201030T224449_035032_04163C_B76B.zip","960.2027578353882","None","None","0","S1A_IWDV_0146_0152_035032_135",""
"S1A_IW_GRDH_1SDV_20201018T224424_20201018T224449_034857_041052_B0C2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","34857","135","146","2020-10-18T22:44:49.000000","2020-10-18T22:44:24.000000","GRD_HD","2020-10-18T22:44:24.000000","2020-10-18T22:44:49.000000","45.9245","-72.8945","44.964703","-74.314888","45.362026","-71.090714","46.463642","-74.731674","46.860947","-71.419693","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201018T224424_20201018T224449_034857_041052_B0C2.zip","995.5738172531128","None","None","0","S1A_IWDV_0146_0152_034857_135",""
"S1A_IW_GRDH_1SDV_20201006T224424_20201006T224449_034682_040A2C_F404","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","34682","135","146","2020-10-06T22:44:49.000000","2020-10-06T22:44:24.000000","GRD_HD","2020-10-06T22:44:24.000000","2020-10-06T22:44:49.000000","45.9245","-72.8958","44.96479","-74.316063","45.362118","-71.09214","46.463642","-74.732841","46.860943","-71.421127","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20201006T224424_20201006T224449_034682_040A2C_F404.zip","994.6711645126343","None","None","0","S1A_IWDV_0146_0151_034682_135",""
"S1A_IW_GRDH_1SDV_20200819T224422_20200819T224447_033982_03F188_55FA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","33982","135","146","2020-08-19T22:44:47.000000","2020-08-19T22:44:22.000000","GRD_HD","2020-08-19T22:44:22.000000","2020-08-19T22:44:47.000000","45.9245","-72.8925","44.964809","-74.312805","45.362038","-71.088989","46.463764","-74.7295","46.860962","-71.417885","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20200819T224422_20200819T224447_033982_03F188_55FA.zip","981.0665254592896","None","None","0","S1A_IWDV_0146_0151_033982_135",""
"S1A_IW_GRDH_1SDV_20200503T224415_20200503T224440_032407_03C0A0_A57B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","32407","135","146","2020-05-03T22:44:40.000000","2020-05-03T22:44:15.000000","GRD_HD","2020-05-03T22:44:15.000000","2020-05-03T22:44:40.000000","45.9244","-72.8942","44.964619","-74.314423","45.361897","-71.090622","46.463566","-74.731171","46.860817","-71.419586","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20200503T224415_20200503T224440_032407_03C0A0_A57B.zip","1000.4784870147705","None","None","0","S1A_IWDV_0146_0151_032407_135",""
