"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
"S1A_IW_GRDH_1SDV_20191223T224416_20191223T224441_030482_037D6D_E29C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","30482","135","146","2019-12-23T22:44:41.000000","2019-12-23T22:44:16.000000","GRD_HD","2019-12-23T22:44:16.000000","2019-12-23T22:44:41.000000","45.926","-72.8805","44.964504","-74.315178","45.36491","-71.062622","46.463322","-74.731941","46.863682","-71.390816","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191223T224416_20191223T224441_030482_037D6D_E29C.zip","986.6916618347168","None","None","0","S1A_IWDV_0146_0151_030482_135",""
"S1A_IW_GRDH_1SDV_20191211T224416_20191211T224441_030307_03775D_D0BE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","30307","135","146","2019-12-11T22:44:41.000000","2019-12-11T22:44:16.000000","GRD_HD","2019-12-11T22:44:16.000000","2019-12-11T22:44:41.000000","45.9243","-72.8943","44.964546","-74.314812","45.361893","-71.090393","46.46349","-74.731598","46.860809","-71.419365","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191211T224416_20191211T224441_030307_03775D_D0BE.zip","935.8302030563354","None","None","0","S1A_IWDV_0146_0151_030307_135",""
"S1A_IW_GRDH_1SDV_20191129T224417_20191129T224442_030132_03715A_FCDF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","30132","135","146","2019-11-29T22:44:42.000000","2019-11-29T22:44:17.000000","GRD_HD","2019-11-29T22:44:17.000000","2019-11-29T22:44:42.000000","45.9244","-72.8951","44.964565","-74.315514","45.361916","-71.091217","46.463505","-74.732315","46.860828","-71.420212","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191129T224417_20191129T224442_030132_03715A_FCDF.zip","951.29918384552","None","None","0","S1A_IWDV_0146_0151_030132_135",""
"S1A_IW_GRDH_1SDV_20191117T224417_20191117T224442_029957_036B4A_0808","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29957","135","146","2019-11-17T22:44:42.000000","2019-11-17T22:44:17.000000","GRD_HD","2019-11-17T22:44:17.000000","2019-11-17T22:44:42.000000","45.9244","-72.8963","44.964622","-74.316711","45.362007","-71.092552","46.463467","-74.733528","46.860832","-71.421577","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191117T224417_20191117T224442_029957_036B4A_0808.zip","941.458366394043","None","None","0","S1A_IWDV_0146_0151_029957_135",""
"S1A_IW_GRDH_1SDV_20191105T224417_20191105T224442_029782_03652B_C7EA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29782","135","146","2019-11-05T22:44:42.000000","2019-11-05T22:44:17.000000","GRD_HD","2019-11-05T22:44:17.000000","2019-11-05T22:44:42.000000","45.9244","-72.896","44.964622","-74.316345","45.362003","-71.092178","46.46347","-74.733154","46.860828","-71.421196","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191105T224417_20191105T224442_029782_03652B_C7EA.zip","1010.9070529937744","None","None","0","S1A_IWDV_0146_0151_029782_135",""
"S1A_IW_GRDH_1SDV_20191024T224417_20191024T224442_029607_035F02_EA03","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29607","135","146","2019-10-24T22:44:42.000000","2019-10-24T22:44:17.000000","GRD_HD","2019-10-24T22:44:17.000000","2019-10-24T22:44:42.000000","45.9262","-72.88","44.964699","-74.314468","45.365082","-71.062294","46.463604","-74.73127","46.863945","-71.390518","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191024T224417_20191024T224442_029607_035F02_EA03.zip","1002.7699937820435","None","None","0","S1A_IWDV_0146_0151_029607_135",""
"S1A_IW_GRDH_1SDV_20191012T224417_20191012T224442_029432_0358FF_3DB6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29432","135","146","2019-10-12T22:44:42.000000","2019-10-12T22:44:17.000000","GRD_HD","2019-10-12T22:44:17.000000","2019-10-12T22:44:42.000000","45.9246","-72.8935","44.964848","-74.313805","45.362125","-71.089867","46.463699","-74.730537","46.860954","-71.418808","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20191012T224417_20191012T224442_029432_0358FF_3DB6.zip","988.2566661834717","None","None","0","S1A_IWDV_0146_0151_029432_135",""
"S1A_IW_GRDH_1SDV_20190930T224417_20190930T224442_029257_035302_BF63","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","29257","135","146","2019-09-30T22:44:42.000000","2019-09-30T22:44:17.000000","GRD_HD","2019-09-30T22:44:17.000000","2019-09-30T22:44:42.000000","45.9246","-72.8948","44.964855","-74.315117","45.362133","-71.091179","46.463799","-74.731873","46.861053","-71.420135","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20190930T224417_20190930T224442_029257_035302_BF63.zip","975.0802412033081","None","None","0","S1A_IWDV_0146_0151_029257_135",""
"S1A_IW_GRDH_1SDV_20190906T224416_20190906T224441_028907_0346EC_68EE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","28907","135","146","2019-09-06T22:44:41.000000","2019-09-06T22:44:16.000000","GRD_HD","2019-09-06T22:44:16.000000","2019-09-06T22:44:41.000000","45.9245","-72.8955","44.964752","-74.315636","45.362064","-71.091965","46.463696","-74.73243","46.860985","-71.420975","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20190906T224416_20190906T224441_028907_0346EC_68EE.zip","980.316089630127","None","None","0","S1A_IWDV_0146_0151_028907_135",""
"S1A_IW_GRDH_1SDV_20190825T224416_20190825T224441_028732_0340CF_A3BA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","28732","135","146","2019-08-25T22:44:41.000000","2019-08-25T22:44:16.000000","GRD_HD","2019-08-25T22:44:16.000000","2019-08-25T22:44:41.000000","45.9246","-72.8952","44.964817","-74.315407","45.36211","-71.091736","46.463764","-74.732185","46.861031","-71.420723","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20190825T224416_20190825T224441_028732_0340CF_A3BA.zip","981.8634300231934","None","None","0","S1A_IWDV_0146_0151_028732_135",""
"S1A_IW_GRDH_1SDV_20190813T224415_20190813T224440_028557_033AC6_BD26","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","28557","135","146","2019-08-13T22:44:40.000000","2019-08-13T22:44:15.000000","GRD_HD","2019-08-13T22:44:15.000000","2019-08-13T22:44:40.000000","45.9246","-72.8944","44.964901","-74.31456","45.362148","-71.090874","46.463848","-74.731293","46.861073","-71.419815","None","ASCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20190813T224415_20190813T224440_028557_033AC6_BD26.zip","984.3336153030396","None","None","0","S1A_IWDV_0146_0151_028557_135",""
