investment	units.held	price.per.unit	market.value	holdings.percentage	book.value.2010.03.10	target.proportion
TD Canadian Index e	0	23.21	0	0	0	0.275
TD Canadian Bond Index e	0	11.34	0	0	0	0.2
TD US Index e	0	34.81	0	0	0	0.275
TD Int'l Index e	0	11.45	0	0	0	0.1
TD CDN Bond	537.510	13.750	7390.76	8.5953162088	7318.460	0
TD CDN Equity	354.816	32.450	11513.78	13.3903116674	9241.920	0
TD CDN Index	502.984	21.990	11060.62	12.8632950286	9246.870	0
TD Dividend Growth	132.543	68.460	9073.89	10.5527650464	7280.730	0
TD Emerging Mkt	286.415	16.100	4611.28	5.3628327435	4013.000	0.05
TD Entertain & Comm	151.302	40.020	6055.1	7.0419685088	3352.000	0.05
TD Int'l Index	529.419	11.140	5897.73	6.8589501302	4511.640	0
TD Precious Metals	78.692	32.77	2578.74	2.9990265846	4421.000	0.05
TD Real Return Bond	420.316	15.750	6619.98	7.6989134265	6713.630	0
TD US Index	1339.066	15.820	21184.02	24.6366206552	13151.620	0
