investment	adjustment	target.market.value	adjusted.value	existing.value	inception.value	fold
TD Canadian Index e	28046.1225	28046.1225	28046.1225	0	0	NA
TD Canadian Bond Index e	20397.18	20397.18	20397.18	0	0	NA
TD US Index e	28046.1225	28046.1225	28046.1225	0	0	NA
TD Int'l Index e	10198.59	10198.59	10198.59	0	0	NA
TD CDN Bond	-7390.76	0	9.09494701772928e-13	7390.76	7318.46	1.00987912757602
TD CDN Equity	-11513.78	0	-1.81898940354586e-12	11513.78	9241.92	1.24582121463938
TD CDN Index	-11060.62	0	0	11060.62	9246.87	1.1961474531382
TD Dividend Growth	-9073.89	0	0	9073.89	7280.73	1.24628849030248
TD Emerging Mkt	488.015	5099.295	5099.295	4611.28	4013	1.1490854722153
TD Entertain & Comm	-955.805	5099.295	5099.295	6055.1	3352	1.80641408114558
TD Int'l Index	-5897.73	0	0	5897.73	4511.64	1.3072253105301
TD Precious Metals	2520.555	5099.295	5099.295	2578.74	4421	0.583293372540149
TD Real Return Bond	-6619.98	0	0	6619.98	6713.63	0.986050765383258
TD US Index	-21184.02	0	0	21184.02	13151.62	1.61075365620357
